rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
46023,"Amsterdam Sloterdijk-Hoorn Kersenboogerd","Amsterdam Centraal - Hoorn",164,"Purmerend Overwhere,Purmerend,Purmerend Weidevenne,Zaandam,Zaandam Kogerveld","PMO, PMR, PMW, ZD, ZDK","inzet van de politie","police action","inzet van de politie","police action",external,"2023-01-03 20:49:24","2023-01-03 21:17:56",29
46024,"Alkmaar-Den Helder","Alkmaar - Den Helder",162,"Anna Paulowna,Den Helder,Den Helder Zuid","ANA, HDR, HDRZ","sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2023-01-04 04:34:28","2023-01-04 08:19:15",225
46025,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Aachen Hbf,Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf,Aachen West","AHBF, EGHM, HRL, HRLK, HZ, LG, AW","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-04 05:51:17","2023-01-06 00:00:03",2529
46026,"Tilburg Universiteit-Eindhoven","Breda - Tilburg, Eindhoven - Tilburg","68,152","Boxtel,Oisterwijk,Tilburg,Tilburg Universiteit","BTL, OT, TB, TBU","hinder op het spoor","hindrance on the railway","hinder op het spoor","hindrance on the railway",external,"2023-01-04 07:59:21","2023-01-04 10:11:30",132
46027,Amsterdam-Haarlem-Leiden,"Haarlem - Leiden Centraal",23,"Heemstede-Aerdenhout,Hillegom,Haarlem,Leiden Centraal,Voorhout","HAD, HIL, HLM, LEDN, VH","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-04 08:21:58","2023-01-04 09:22:26",60
46028,Breukelen-Utrecht-Veenendaal,"Amsterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal","136,137","Breukelen,Maarssen","BKL, MAS","persoon langs het spoor","person along the track","persoon langs het spoor","person along the track",external,"2023-01-04 08:24:41","2023-01-04 10:00:59",96
46029,Dordrecht-Roosendaal,"Dordrecht - Roosendaal",171,"Dordrecht,Dordrecht Zuid,Oudenbosch,Roosendaal,Lage Zwaluwe,Zevenbergen","DDR, DDZD, ODB, RSD, ZLW, ZVB","persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2023-01-04 08:50:45","2023-01-04 12:37:44",227
46030,"Rotterdam-Breda (HSL)","Breda - Rotterdam Centraal (HSL)",15,"Breda,Rotterdam Centraal","BD, RTD","persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2023-01-04 09:15:07","2023-01-04 12:37:35",202
46031,Rotterdam-Dordrecht,"Dordrecht - Rotterdam Centraal",16,"Barendrecht,Dordrecht,Rotterdam Lombardijen,Rotterdam Blaak,Rotterdam Centraal,Rotterdam Stadion,Rotterdam Zuid,Zwijndrecht","BRD, DDR, RLB, RTB, RTD, RTST, RTZ, ZWD","persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2023-01-04 09:15:16","2023-01-04 12:37:52",203
46032,Duivendrecht-Lelystad,"Lelystad Centrum - Schiphol Airport",144,"Almere Centrum,Almere Muziekwijk,Diemen Zuid,Duivendrecht,Weesp,Almere Poort","ALM, ALMM, DMNZ, DVD, WP, AMPO","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-04 13:33:47","2023-01-04 14:00:29",27
46033,Utrecht-Almere,"Almere Oostvaarders - Utrecht Centraal",149,"Almere Centrum,Almere Muziekwijk,Bussum Zuid,Hilversum,Naarden-Bussum,Weesp,Almere Poort,Hilversum Media Park","ALM, ALMM, BSMZ, HVS, NDB, WP, AMPO, HVSM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-04 13:33:49","2023-01-04 14:00:25",27
46034,Roosendaal-Vlissingen,"Roosendaal - Vlissingen",21,"Bergen op Zoom,Krabbendijke,Kruiningen-Yerseke,Rilland-Bath","BGN, KBD, KRG, RB","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-04 14:18:02","2023-01-04 15:28:19",70
46035,"Amsterdam-Lelystad Centrum; Leiden-Duivendrecht-Lelystad","Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","144,145,149","Almere Centrum,Almere Buiten,Almere Oostvaarders,Almere Parkwijk","ALM, ALMB, ALMO, ALMP","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-04 15:09:21","2023-01-04 15:56:01",47
46036,Amsterdam-Almere,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","144,145,149","Almere Centrum,Almere Muziekwijk,Almere Poort","ALM, ALMM, AMPO","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-04 18:20:08","2023-01-04 18:22:00",2
46037,"Breda-Tilburg; Breda-Tilburg","Breda - Tilburg",68,"Breda,Gilze-Rijen,Tilburg,Tilburg Reeshof,Tilburg Universiteit","BD, GZ, TB, TBR, TBU",aanrijding,collision,aanrijding,collision,accidents,"2023-01-04 23:18:57","2023-01-05 00:35:02",76
46038,Arnhem-Zutphen,"Arnhem Centraal - Zutphen",132,"Arnhem Centraal,Arnhem Velperpoort,Arnhem Presikhaaf,Brummen,Dieren,Rheden,Velp,Zutphen","AH, AHP, AHPR, BMN, DR, RH, VP, ZP",aanrijding,collision,aanrijding,collision,accidents,"2023-01-05 00:50:35","2023-01-05 04:38:45",228
46039,"Den Haag-Rotterdam; Leiden-Rotterdam","Den Haag HS - Rotterdam Centraal",11,"Delft,Den Haag HS,Den Haag Moerwijk,Rijswijk","DT, GV, GVMW, RSW","storing in een tunnel","problem in a tunnel","storing in een tunnel","problem in a tunnel",infrastructure,"2023-01-05 16:20:09","2023-01-05 17:17:19",57
46040,"Schiphol-Rotterdam (HSL)","Rotterdam Centraal - Schiphol Airport (HSL)",24,"Rotterdam Centraal,Schiphol Airport","RTD, SHL","verstoring elders","disruption elsewhere","verstoring elders","disruption elsewhere",logistical,"2023-01-05 16:42:56","2023-01-05 17:17:38",35
46041,"Amsterdam-Schiphol-Leiden; Leiden-Duivendrecht-Lelystad","Leiden Centraal - Schiphol Airport",22,"Hoofddorp,Leiden Centraal,Nieuw Vennep,Sassenheim","HFD, LEDN, NVP, SSH","persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2023-01-05 17:24:27","2023-01-05 18:17:43",53
46042,Utrecht-Tiel,"Tiel - Utrecht Centraal",150,"Geldermalsen,Tiel,Tiel Passewaaij","GDM, TL, TPSW","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-05 17:34:51","2023-01-05 17:42:14",7
46043,Utrecht-Woerden,"Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","142,143,147","Utrecht Centraal,Utrecht Terwijde,Vleuten,Woerden,Utrecht Leidsche Rijn","UT, UTT, VTN, WD, UTLR",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-01-05 18:25:42","2023-01-05 18:55:42",30
46044,Nijmegen-Wijchen,"'s-Hertogenbosch - Nijmegen",57,"Nijmegen,Nijmegen Dukenburg,Wijchen,Nijmegen Goffert","NM, NMD, WC, NMGO","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-05 19:52:39","2023-01-05 20:21:01",28
46045,Lelystad-Zwolle,"Lelystad Centrum - Zwolle",131,"Lelystad Centrum,Dronten,Kampen Zuid","LLS, DRON, KPNZ",herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2023-01-05 19:56:05","2023-01-05 20:36:27",40
46046,"Utrecht-Hilversum-Weesp; Utrecht-Almere","Almere Oostvaarders - Utrecht Centraal, Hilversum - Utrecht Centraal","40,149","Hollandsche Rading,Hilversum,Hilversum Sportpark,Utrecht Centraal,Utrecht Overvecht","HOR, HVS, HVSP, UT, UTO","persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2023-01-05 20:33:52","2023-01-05 21:27:54",54
46047,Almere-Lelystad,"Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","144,145","Almere Oostvaarders,Lelystad Centrum","ALMO, LLS",aanrijding,collision,aanrijding,collision,accidents,"2023-01-05 22:27:46","2023-01-05 23:39:40",72
46048,Utrecht-'s-Hertogenbosch,"'s-Hertogenbosch - Utrecht Centraal",151,"Geldermalsen,'s-Hertogenbosch,Zaltbommel","GDM, HT, ZBM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-06 00:57:27","2023-01-06 00:57:42",0
46049,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Aachen Hbf,Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf,Aachen West","AHBF, EGHM, HRL, HRLK, HZ, LG, AW","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-06 05:32:17","2023-01-06 05:41:27",9
46050,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Aachen Hbf,Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf,Aachen West","AHBF, EGHM, HRL, HRLK, HZ, LG, AW","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-06 05:41:41","2023-01-09 13:19:54",4778
46051,Zwolle-Emmen,"Emmen - Zwolle",159,"Coevorden,Gramsbergen,Hardenberg,Mariënberg","CO, GBG, HDB, MRB",aanrijding,collision,aanrijding,collision,accidents,"2023-01-06 10:00:11","2023-01-06 13:37:19",217
46052,Almelo-Hardenberg,"Emmen - Zwolle",159,"Hardenberg,Mariënberg","HDB, MRB",aanrijding,collision,aanrijding,collision,accidents,"2023-01-06 10:13:52","2023-01-06 12:02:14",108
46053,Almelo-Hardenberg,"Emmen - Zwolle",159,"Hardenberg,Mariënberg","HDB, MRB",aanrijding,collision,aanrijding,collision,accidents,"2023-01-06 12:04:00","2023-01-06 12:04:06",0
46054,"Utrecht-Gouda; Utrecht-Den Haag","Den Haag Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","142,143","Gouda,Gouda Goverwelle,Den Haag Centraal,Utrecht Centraal,Utrecht Terwijde,Voorburg,Vleuten,Woerden,Den Haag Ypenburg,Zoetermeer,Zoetermeer Oost,Utrecht Leidsche Rijn,Lansingerland-Zoetermeer","GD, GDG, GVC, UT, UTT, VB, VTN, WD, YPB, ZTM, ZTMO, UTLR, LLZM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-06 13:11:54","2023-01-06 16:04:51",173
46055,Arnhem-Zutphen,"Arnhem Centraal - Zutphen",132,"Arnhem Centraal,Arnhem Velperpoort,Arnhem Presikhaaf,Brummen,Dieren,Rheden,Velp,Zutphen","AH, AHP, AHPR, BMN, DR, RH, VP, ZP","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-06 13:21:58","2023-01-06 13:28:34",7
46056,Amersfoort-Deventer,"Amersfoort - Apeldoorn",50,"Amersfoort Centraal,Apeldoorn","AMF, APD","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-06 17:03:42","2023-01-06 18:15:46",72
46057,Amersfoort-Ede-Wageningen,"Amersfoort - Ede-Wageningen",47,"Amersfoort Centraal,Barneveld Centrum,Barneveld Noord,Hoevelaken,Barneveld Zuid","AMF, BNC, BNN, HVL, BNZ","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-06 17:13:34","2023-01-06 18:26:51",73
46058,Weesp,"Amersfoort - Amsterdam Centraal, Amersfoort - Schiphol Airport, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","135,144,145,148",Weesp,WP,herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2023-01-06 22:44:43","2023-01-07 11:33:18",769
46059,Roosendaal-Vlissingen,"Roosendaal - Vlissingen",21,"Arnemuiden,Bergen op Zoom,Kapelle-Biezelinge,Goes,Krabbendijke,Kruiningen-Yerseke,Middelburg,Rilland-Bath,Roosendaal,Vlissingen,Vlissingen Souburg","ARN, BGN, BZL, GS, KBD, KRG, MDB, RB, RSD, VS, VSS",aanrijding,collision,aanrijding,collision,accidents,"2023-01-06 23:46:12","2023-01-07 00:13:35",27
46060,Zwolle-Kampen,"Kampen - Zwolle",49,"Kampen,Zwolle,Zwolle Stadshagen","KPN, ZL, ZLSH","problemen met de personeelsinzet","staffing problems","problemen met de personeelsinzet","staffing problems",staff,"2023-01-07 09:15:50","2023-01-07 10:31:07",75
46061,Amsterdam-Almere,"Amsterdam Centraal - Lelystad Centrum",145,"Almere Centrum,Almere Muziekwijk,Amsterdam Centraal,Amsterdam Muiderpoort,Amsterdam Science Park,Diemen,Weesp,Almere Poort","ALM, ALMM, ASD, ASDM, ASSP, DMN, WP, AMPO","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-07 14:22:30","2023-01-07 15:28:09",66
46062,Zwolle-Almelo,"Almelo - Zwolle",95,"Heino,Raalte","HNO, RAT",aanrijding,collision,aanrijding,collision,accidents,"2023-01-07 16:08:55","2023-01-07 20:51:47",283
46063,"Amsterdam Sloterdijk-Hoorn Kersenboogerd","Amsterdam Centraal - Hoorn",164,"Purmerend,Purmerend Weidevenne,Zaandam,Zaandam Kogerveld","PMR, PMW, ZD, ZDK","rommel op het spoor","garbage on the railway track","rommel op het spoor","garbage on the railway track",external,"2023-01-07 17:11:36","2023-01-07 17:58:36",47
46064,"Zwolle-Groningen; Zwolle-Leeuwarden","Groningen - Zwolle, Leeuwarden - Zwolle","146,160","Meppel,Zwolle","MP, ZL",aanrijding,collision,aanrijding,collision,accidents,"2023-01-07 20:35:58","2023-01-08 01:51:56",316
46065,Amersfoort-Deventer,"Amersfoort - Apeldoorn",50,"Amersfoort Centraal,Apeldoorn","AMF, APD",aanrijding,collision,aanrijding,collision,accidents,"2023-01-07 22:29:52","2023-01-08 01:52:01",202
46066,Eindhoven-Venlo,"Eindhoven - Venlo",65,"Blerick,Deurne,Eindhoven Centraal,Helmond,Helmond Brouwhuis,Helmond Brandevoort,Helmond 't Hout,Horst-Sevenum,Venlo","BR, DN, EHV, HM, HMBH, HMBV, HMH, HRT, VL","sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2023-01-08 14:39:02","2023-01-08 17:26:16",167
46067,Amsterdam-Utrecht,"Amsterdam Centraal - Utrecht Centraal",136,"Abcoude,Amsterdam Amstel,Amsterdam Bijlmer ArenA,Amsterdam Centraal,Amsterdam Muiderpoort,Amsterdam Holendrecht,Breukelen,Duivendrecht,Maarssen,Utrecht Centraal,Utrecht Zuilen","AC, ASA, ASB, ASD, ASDM, ASHD, BKL, DVD, MAS, UT, UTZL",koperdiefstal,"copper theft",koperdiefstal,"copper theft",external,"2023-01-09 05:53:36","2023-01-09 09:40:58",227
46068,Amsterdam-Utrecht,"Amsterdam Centraal - Utrecht Centraal, Amsterdam Centraal - Woerden","136,141","Amsterdam Amstel,Amsterdam Centraal,Amsterdam Muiderpoort","ASA, ASD, ASDM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-09 09:00:50","2023-01-09 09:10:57",10
46069,"Zwolle-Groningen; Zwolle-Leeuwarden","Groningen - Zwolle, Leeuwarden - Zwolle","146,160","Meppel,Zwolle","MP, ZL","mensen op het spoor","people on the railway track","mensen op het spoor","people on the railway track",external,"2023-01-09 09:49:42","2023-01-09 10:08:09",18
46070,"Heerlen-Aachen Hbf","Aachen Hbf - Heerlen",130,"Eygelshoven Markt,Heerlen,Heerlen De Kissel,Herzogenrath,Landgraaf","EGHM, HRL, HRLK, HZ, LG","beperkingen in de materieelinzet","problems with the rolling stock","beperkingen in de materieelinzet","problems with the rolling stock","rolling stock","2023-01-09 13:20:54","2023-01-19 03:11:27",13791
46071,"Amsterdam-Schiphol-Rotterdam (HSL)","Amsterdam Centraal - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL)","24,32","Amsterdam Centraal,Amsterdam Lelylaan,Amsterdam Sloterdijk,Rotterdam Centraal,Schiphol Airport","ASD, ASDL, ASS, RTD, SHL","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-09 18:37:38","2023-01-09 19:08:17",31
46072,Haarlem-Leiden,"Haarlem - Leiden Centraal",23,"Heemstede-Aerdenhout,Hillegom,Haarlem,Leiden Centraal,Voorhout","HAD, HIL, HLM, LEDN, VH",aanrijding,collision,aanrijding,collision,accidents,"2023-01-09 19:33:45","2023-01-09 19:34:54",1
46073,Deventer-Almelo,"Almelo - Deventer",88,"Deventer,Deventer Colmschate,Holten,Rijssen","DV, DVC, HON, RSN",aanrijding,collision,aanrijding,collision,accidents,"2023-01-09 19:57:25","2023-01-10 01:05:55",309
46074,"Rotterdam-Breda (HSL)","Breda - Rotterdam Centraal (HSL)",15,"Breda,Rotterdam Centraal","BD, RTD","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-09 22:02:46","2023-01-09 22:02:59",0
46075,Apeldoorn-Deventer,"Apeldoorn - Deventer",87,"Apeldoorn,Apeldoorn Osseveld,Deventer,Twello","APD, APDO, DV, TWL",aanrijding,collision,aanrijding,collision,accidents,"2023-01-10 00:01:49","2023-01-10 00:07:14",5
46076,Rotterdam-Dordrecht,"Dordrecht - Rotterdam Centraal",16,"Barendrecht,Dordrecht,Rotterdam Lombardijen,Rotterdam Blaak,Rotterdam Centraal,Rotterdam Stadion,Rotterdam Zuid,Zwijndrecht","BRD, DDR, RLB, RTB, RTD, RTST, RTZ, ZWD","uitloop van werkzaamheden","over-running engineering works","uitloop van werkzaamheden","over-running engineering works","engineering work","2023-01-10 05:34:30","2023-01-10 12:00:32",386
46077,"Dordrecht-Breda; Dordrecht-Roosendaal","Breda - Dordrecht, Dordrecht - Roosendaal","170,171","Dordrecht,Dordrecht Zuid,Lage Zwaluwe","DDR, DDZD, ZLW","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-01-10 06:29:46","2023-01-10 06:43:45",14
46078,"Schiphol Airport","Amersfoort - Schiphol Airport, Amsterdam Centraal - Schiphol Airport, Leiden Centraal - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Rotterdam Centraal - Schiphol Airport (HSL), Schiphol Airport - Utrecht Centraal, Schiphol Airport - Zaandam","22,24,32,137,144,148,165","Schiphol Airport",SHL,"mensen op het spoor","people on the railway track","mensen op het spoor","people on the railway track",external,"2023-01-10 11:35:25","2023-01-10 13:04:26",89
46079,"Leiden-Den Haag","Den Haag Centraal - Leiden Centraal",169,"De Vink,Den Haag Centraal,Den Haag Mariahoeve,Den Haag Laan v NOI,Leiden Centraal,Voorschoten","DVNK, GVC, GVM, LAA, LEDN, VST","mensen op het spoor","people on the railway track","mensen op het spoor","people on the railway track",external,"2023-01-10 12:06:01","2023-01-10 12:08:17",2
46080,"Deventer-Enschede; Zwolle-Enschede","Almelo - Hengelo",89,"Almelo,Almelo de Riet,Borne,Hengelo","AML, AMRI, BN, HGL",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-01-10 13:05:43","2023-01-10 16:14:49",189
46081,Zutphen-Hengelo,"Hengelo - Zutphen",90,"Delden,Goor,Hengelo,Lochem,Zutphen,Hengelo Gezondheidspark","DDN, GO, HGL, LC, ZP, HGLG",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-01-10 13:17:08","2023-01-10 16:40:48",204
